seq	wave	priority	lane	storefront_status	handle	title_en	product_url	draft_packet04	translation_mode	source_capture	translation_1to1	completeness_check	import_to_test	visual_qa	notes
70	Wave 05	P3	fragrance_oils	ACTIVE	modern-gentleman-fougere-fragrance-oil	Modern Gentleman Fougère Fragrance Oil	https://aromawax.eu/products/modern-gentleman-fougere-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
71	Wave 05	P3	fragrance_oils	ACTIVE	moroccan-cedar-and-saffron-fragrance-oil	Moroccan Cedar & Saffron Fragrance Oil	https://aromawax.eu/products/moroccan-cedar-and-saffron-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
72	Wave 05	P3	fragrance_oils	ACTIVE	muscat-and-fig-fragrance-oil	Muscat & Fig Fragrance Oil	https://aromawax.eu/products/muscat-and-fig-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
73	Wave 05	P3	fragrance_oils	ACTIVE	nutmeg-ginger-spice-fragrance-oil	Nutmeg, Ginger & Spice Fragrance Oil	https://aromawax.eu/products/nutmeg-ginger-spice-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
74	Wave 05	P3	fragrance_oils	ACTIVE	opium-and-musk-fragrance-oil	Opium & Musk Fragrance Oil	https://aromawax.eu/products/opium-and-musk-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
75	Wave 05	P3	fragrance_oils	ACTIVE	oud-wood-and-sweet-jasmin-fragrance-oil	Oud Wood & Sweet Jasmin Fragrance Oil	https://aromawax.eu/products/oud-wood-and-sweet-jasmin-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
76	Wave 05	P3	fragrance_oils	ACTIVE	palo-santo-de-marabi-fragrance-oil	Palo Santo de Marabi Fragrance Oil	https://aromawax.eu/products/palo-santo-de-marabi-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
77	Wave 05	P3	fragrance_oils	ACTIVE	patchouli-vetiver-fragrance-oil	Patchouli & Vetiver Fragrance Oil	https://aromawax.eu/products/patchouli-vetiver-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
78	Wave 05	P3	fragrance_oils	ACTIVE	pineapple-creamy-coconut-fragrance-oil-2	Pineapple & Creamy Coconut Fragrance Oil	https://aromawax.eu/products/pineapple-creamy-coconut-fragrance-oil-2	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Handle uses -2 suffix. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
79	Wave 05	P3	fragrance_oils	ACTIVE	jasmine-fragrance-oil	Pure Jasmine Fragrance Oil	https://aromawax.eu/products/jasmine-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
80	Wave 05	P3	fragrance_oils	ACTIVE	rose-champagne-fragrance-oil	Rose & Champagne Fragrance Oil	https://aromawax.eu/products/rose-champagne-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
81	Wave 05	P3	fragrance_oils	ACTIVE	ruby-grapefruit-fragrance-oil	Ruby Grapefruit Fragrance Oil	https://aromawax.eu/products/ruby-grapefruit-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
82	Wave 05	P3	fragrance_oils	ACTIVE	sage-seasalt-fragrance-oil	Sage & Seasalt Fragrance Oil	https://aromawax.eu/products/sage-seasalt-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
83	Wave 05	P3	fragrance_oils	ACTIVE	siberian-cedar-and-bergamot-fragrance-oil	Siberian Cedar & Bergamot Fragrance Oil	https://aromawax.eu/products/siberian-cedar-and-bergamot-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
84	Wave 05	P3	fragrance_oils	ACTIVE	sicilian-neroli-cashmere-fragrance-oil	Sicilian Neroli & Cashmere Fragrance Oil	https://aromawax.eu/products/sicilian-neroli-cashmere-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
85	Wave 05	P3	fragrance_oils	ACTIVE	smoky-myrrh-sage-fragrance-oil	Smoky Myrrh & Sage Fragrance Oil	https://aromawax.eu/products/smoky-myrrh-sage-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
86	Wave 05	P3	fragrance_oils	ACTIVE	spiced-apple-cinnamon-fragrance-oil	Spiced Apple & Cinnamon Fragrance Oil	https://aromawax.eu/products/spiced-apple-cinnamon-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
87	Wave 05	P3	fragrance_oils	ACTIVE	suede-leather-orris-fragrance-oil	Suede Leather & Orris Fragrance Oil	https://aromawax.eu/products/suede-leather-orris-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
88	Wave 05	P3	fragrance_oils	ACTIVE	sweet-amber-and-smoke-fragrance-oil	Sweet Amber & Smoke Fragrance Oil	https://aromawax.eu/products/sweet-amber-and-smoke-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
89	Wave 05	P3	fragrance_oils	ACTIVE	tobacco-vanilla-fragrance-oil	Tobacco & Vanilla Fragrance Oil	https://aromawax.eu/products/tobacco-vanilla-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
90	Wave 05	P3	fragrance_oils	ACTIVE	tomato-leaf-fragrance-oil	Tomato Leaf Fragrance Oil	https://aromawax.eu/products/tomato-leaf-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
91	Wave 05	P3	fragrance_oils	ACTIVE	vanilla-and-patchouli-fragrance-oil	Vanilla & Patchouli Fragrance Oil	https://aromawax.eu/products/vanilla-and-patchouli-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
92	Wave 05	P3	fragrance_oils	ACTIVE	vanilla-cream-fragrance-oil	Vanilla Cream Fragrance Oil	https://aromawax.eu/products/vanilla-cream-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
93	Wave 05	P3	fragrance_oils	ACTIVE	very-gingerbread-fragrance-oil	Very Gingerbread Fragrance Oil	https://aromawax.eu/products/very-gingerbread-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
94	Wave 05	P3	fragrance_oils	ACTIVE	mango-fragrance-oil	Very Mango Fragrance Oil	https://aromawax.eu/products/mango-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Handle says mango-fragrance-oil while product title is Very Mango Fragrance Oil. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
95	Wave 05	P3	fragrance_oils	ACTIVE	wild-fern-moss-fragrance-oil	Wild Fern & Moss Fragrance Oil	https://aromawax.eu/products/wild-fern-moss-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
96	Wave 05	P3	fragrance_oils	ACTIVE	wild-strawberry-cream-silk	Wild Strawberry, Cream & Silk Fragrance Oil	https://aromawax.eu/products/wild-strawberry-cream-silk	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle omits -fragrance-oil suffix. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
97	Wave 05	P3	fragrance_oils	ACTIVE	winter-pines-velvet-petals	Winter Pines & Velvet Petals Fragrance Oil	https://aromawax.eu/products/winter-pines-velvet-petals	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	PENDING	PENDING	Non-standard handle omits -fragrance-oil suffix. Wave 05 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-05-1to1-rewrite.md
98	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	agarwood-noble-incense-fragrance-oil-1	Agarwood & noble incense fragrance oil	https://aromawax.eu/products/agarwood-noble-incense-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
99	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	black-cherry-and-corsican-almond-fragrance-oil-2	Black cherry and corsican almond fragrance oil	https://aromawax.eu/products/black-cherry-and-corsican-almond-fragrance-oil-2	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
100	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	black-pepper-velvet-orchid-fragrance-oil-1	Black pepper & velvet orchid fragrance oil	https://aromawax.eu/products/black-pepper-velvet-orchid-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
101	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	black-pepper-sandalwood-tonka-fragrance-oil-1	Black pepper, sandalwood and tonka fragrance oil	https://aromawax.eu/products/black-pepper-sandalwood-tonka-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Resolved 2026-04-16: sample handle migrated from black-coconut-fragrance-oil-1 to black-pepper-sandalwood-tonka-fragrance-oil-1 with redirect; live source identity aligned to Black Pepper, Sandalwood and Tonka. Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
102	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	by-the-fireplace-fragrance-oil	By the fireplace fragrance oil	https://aromawax.eu/products/by-the-fireplace-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
103	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	cashmere-wood-tonka-fragrance-oil	Cashmere wood & tonka fragrance oil	https://aromawax.eu/products/cashmere-wood-tonka-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
104	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	christmas-hearth-fragrance-oil-1	Christmas hearth fragrance oil	https://aromawax.eu/products/christmas-hearth-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
105	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	fresh-cotton-green-tea-fragrance-oil-1	Fresh cotton & green tea fragrance oil	https://aromawax.eu/products/fresh-cotton-green-tea-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
106	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	fresh-cut-grass-fragrance-oil-1	Fresh cut grass fragrance oil	https://aromawax.eu/products/fresh-cut-grass-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
107	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	fresh-cut-peony-fragrance-oil-1	Fresh cut peony fragrance oil	https://aromawax.eu/products/fresh-cut-peony-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
108	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	green-cardamom-eucalyptus-fragrance-oil-1	Green cardamom & eucalyptus fragrance oil	https://aromawax.eu/products/green-cardamom-eucalyptus-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
109	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	green-fig-and-wild-mushroom-fragrance-oil-1	Green fig and wild mushroom fragrance oil	https://aromawax.eu/products/green-fig-and-wild-mushroom-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
110	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	kyoto-matcha-coconut-cloud-fragrance-oil-1	Kyoto matcha & coconut cloud fragrance oil	https://aromawax.eu/products/kyoto-matcha-coconut-cloud-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
111	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	lavender-peppermint-fragrance-oil	Lavender & peppermint fragrance oil	https://aromawax.eu/products/lavender-peppermint-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
112	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	lemongrass-honey-fragrance-oil	Lemongrass & honey fragrance oil	https://aromawax.eu/products/lemongrass-honey-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
113	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	luscious-lime-basil-fragrance-oil-1	Luscious lime & basil fragrance oil	https://aromawax.eu/products/luscious-lime-basil-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
114	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	magnolia-peach-blossom-fragrance-oil	Magnolia & peach blossom fragrance oil	https://aromawax.eu/products/magnolia-peach-blossom-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
115	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	modern-gentleman-fougere-fragrance-oil-1	Modern gentleman fougère fragrance oil	https://aromawax.eu/products/modern-gentleman-fougere-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
116	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	moroccan-cedar-saffron-fragrance-oil	Moroccan cedar & saffron fragrance oil	https://aromawax.eu/products/moroccan-cedar-saffron-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
117	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	muscat-fig-fragrance-oil	Muscat & fig fragrance oil	https://aromawax.eu/products/muscat-fig-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
118	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	nutmeg-ginger-spice-fragrance-oil-1	Nutmeg, ginger & spice fragrance oil	https://aromawax.eu/products/nutmeg-ginger-spice-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
119	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	opium-musk-fragrance-oil-1	Opium & musk fragrance oil	https://aromawax.eu/products/opium-musk-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
120	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	oud-wood-sweet-jasmin-fragrance-oil	Oud wood & sweet jasmin fragrance oil	https://aromawax.eu/products/oud-wood-sweet-jasmin-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
121	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	palo-santo-de-marabi-fragrance-oil-1	Palo santo de marabi fragrance oil	https://aromawax.eu/products/palo-santo-de-marabi-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
122	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	patchouli-vetiver-fragrance-oil-1	Patchouli & vetiver fragrance oil	https://aromawax.eu/products/patchouli-vetiver-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
123	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	pineapple-creamy-coconut-fragrance-oil	Pineapple & creamy coconut fragrance oil	https://aromawax.eu/products/pineapple-creamy-coconut-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
124	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	pure-jasmine-fragrance-oil	Pure jasmine fragrance oil	https://aromawax.eu/products/pure-jasmine-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
125	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	rose-champagne-fragrance-oil-2	Rose & champagne fragrance oil	https://aromawax.eu/products/rose-champagne-fragrance-oil-2	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
126	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	ruby-grapefruit-fragrance-oil-1	Ruby grapefruit fragrance oil	https://aromawax.eu/products/ruby-grapefruit-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
127	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	sage-seasalt-fragrance-oil-1	Sage & seasalt fragrance oil	https://aromawax.eu/products/sage-seasalt-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
128	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	siberian-cedar-bergamot-fragrance-oil	Siberian cedar & bergamot fragrance oil	https://aromawax.eu/products/siberian-cedar-bergamot-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
